country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
India region,27,7.5,2,159.0,0.16981132075471697,0.15617598634463092,0.5721816561586504,0.8169714646728448,1.6703633919355851,6.598672124178451
Brazil,26,7.63,0,159.0,0.16352201257861634,0.15085219313700193,0.5585144827085682,0.8050905380219169,0.7555380806306562,7.323560023824728
Kyrgyzstan,26,8.02,1,159.0,0.16352201257861634,0.15085219313700193,0.5585144827085682,0.8050905380219169,0.7906912347530554,7.2647161825593205
New Zealand region,24,7.4,2,159.0,0.1509433962264151,0.14010362933884557,0.5298563445717427,0.7789649432605561,0.9532363518508609,7.049057768368087
Italy,24,7.19,1,159.0,0.1509433962264151,0.14010362933884557,0.5298563445717427,0.7789649432605561,1.5292059221945495,6.653934166410309
Dominican Republic,21,7.76,3,159.0,0.1320754716981132,0.12372514136790513,0.48334366695269215,0.7330662335221094,0.8751526083692733,7.142657852398295
Svalbard and Jan Mayen,21,6.8,0,159.0,0.1320754716981132,0.12372514136790513,0.48334366695269215,0.7330662335221094,1.4430671075899213,6.692968466082016
Hawaii,20,7.7,1,159.0,0.12578616352201258,0.11819661164499196,0.46683845669349966,0.7157387687390309,1.1028034002380007,6.906779939002895
Oregon,19,7.0,1,159.0,0.11949685534591195,0.11263320172370717,0.44980596756772795,0.697286526675916,1.5747319000308744,6.635028730909937
Mongolia,17,7.05,0,159.0,0.1069182389937107,0.10140085964315204,0.41409123635698086,0.6567109206863088,0.924030812560109,7.082214993707203
Nevada,16,6.5,2,159.0,0.10062893081761007,0.09573148318266311,0.39537367360188336,0.6344270054263181,2.714340511895321,6.368413614879048
Ethiopia,16,6.51,3,159.0,0.10062893081761007,0.09573148318266311,0.39537367360188336,0.6344270054263181,2.6965997242358815,6.370837388661146
Honduras,15,7.5,0,159.0,0.09433962264150944,0.09002633790379089,0.37605815570900514,0.610696574942752,1.238482362841974,6.807439839276578
Nepal,14,7.8,2,159.0,0.0880503144654088,0.08428519813650326,0.35612558027962726,0.5854257316297533,0.8267644112379946,7.209534404731576
Samoa,14,6.63,0,159.0,0.0880503144654088,0.08428519813650326,0.35612558027962726,0.5854257316297533,1.840230855522248,6.543410081946597
Russia region,14,7.7,0,159.0,0.0880503144654088,0.08428519813650326,0.35612558027962726,0.5854257316297533,0.9590098969472476,7.042742106398728
Yemen,13,6.68,1,159.0,0.08176100628930817,0.07850783678698703,0.3355562346658434,0.5585144827085682,1.579252661466373,6.633210900573362
Uzbekistan,12,7.1,1,159.0,0.07547169811320754,0.07269402532866509,0.3143297764754128,0.5298563445717427,1.0513646675497703,6.951144765336773
Iceland,12,6.98,1,159.0,0.07547169811320754,0.07269402532866509,0.3143297764754128,0.5298563445717427,1.0552950027555665,6.947602326732164
Puerto Rico,11,7.7,1,159.0,0.06918238993710692,0.06684353379315722,0.292425213453818,0.4993379214441249,1.044395547663128,6.95749163450336
Alaska Earthquake,11,9.2,0,159.0,0.06918238993710692,0.06684353379315722,0.292425213453818,0.4993379214441249,0.21110204599804555,10.737045514041386
Portugal,10,7.8,1,159.0,0.06289308176100629,0.060956130761183225,0.26982088272362903,0.46683845669349966,1.0499427035023683,6.952432924829354
Romania,10,7.74,1,159.0,0.06289308176100629,0.060956130761183225,0.26982088272362903,0.46683845669349966,0.5459702058212306,7.831601778517992
Guadeloupe,10,7.2,0,159.0,0.06289308176100629,0.060956130761183225,0.26982088272362903,0.46683845669349966,1.2515691121131192,6.798997027268933
Australia,9,6.7,1,159.0,0.05660377358490566,0.05503158335340941,0.24649442936064547,0.4322293550154608,1.3041876333430977,6.766760835967018
North Korea,9,7.4,0,159.0,0.05660377358490566,0.05503158335340941,0.24649442936064547,0.4322293550154608,1.042324686547847,6.95939395171765
Mauritius,9,6.3,0,159.0,0.05660377358490566,0.05503158335340941,0.24649442936064547,0.4322293550154608,1.042324686547847,6.95939395171765
Cayman Islands,9,7.6,0,159.0,0.05660377358490566,0.05503158335340941,0.24649442936064547,0.4322293550154608,1.042324686547847,6.95939395171765
Tanzania,9,6.97,1,159.0,0.05660377358490566,0.05503158335340941,0.24649442936064547,0.4322293550154608,1.0439771199597412,6.9578753986855215
Trinidad and Tobago,8,6.7,0,159.0,0.050314465408805034,0.04906965722123635,0.2224227842856269,0.39537367360188336,1.042324686547847,6.95939395171765
Alaska Peninsula,8,7.0,6,159.0,0.050314465408805034,0.04906965722123635,0.2224227842856269,0.39537367360188336,1.1783183617530095,6.848667077132091
Algeria,7,7.3,0,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,1.042324686547847,6.95939395171765
Albania,7,6.6,0,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,1.042324686547847,6.95939395171765
Georgia,7,7.0,1,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,1.042324686547847,6.95939395171765
Federated States of Micronesia,7,7.83,1,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,1.042324686547847,6.95939395171765
Jamaica,7,7.7,0,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,1.042324686547847,6.95939395171765
Djibouti,7,6.5,3,159.0,0.0440251572327044,0.0430701165375299,0.19758214144974773,0.35612558027962726,2.4536411406963308,6.407557561459948
Antigua and Barbuda,6,7.5,1,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
Cuba,6,7.05,0,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
Azerbaijan,6,6.8,1,159.0,0.03773584905660377,0.03703272398729207,0.17194793429121424,0.3143297764754128,1.042324686547847,6.95939395171765
